id,question,imageURL,answers.0,answers.1,answers.2,answers.3,correctAnswer,correctAnswerIndex,explanation
827,ქვემოდ ჩამოთვლილი რომელი უწესრიგობის დროს ეკრძალება მძღოლს სატრანსპორტო საშუალებით მოძრაობა?,undefined,მხოლოდ ხმოვანი სიგნალის გაუმართაობის დროს,მხოლოდ საჭის მექანიზმის გაუმართაობის დროს,მხოლოდ ნისლსაწინააღმდეგო ფარნების გაუმართაობის დროს,ამ ბილეთში ჩამოთვლილ ნებისმიერ შემთხვევაში,მხოლოდ საჭის მექანიზმის გაუმართაობის დროს,2,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის მე-21-ე მუხლის მე-13 პუნქტის თანახმად, მძღოლს ეკრძალება მოძრაობა მუშა სამუხრუჭო სისტემის, საჭის მექანიზმის, სატრანსპორტო საშუალებათა შემადგენლობაში მისაბმელი მოწყობილობის გაუმართაობისას, აგრეთვე დღე-ღამის ბნელ დროს ერთდროულად მწყობრიდან გამოსული (ჩამქრალი) ახლო და შორი განათების ფარებით (ან მათი არარსებობისას) ან/და უკანა საგაბარიტო სინათლეებით იმ გზაზე, რომელზედაც არ არის ხელოვნური განათება ან არასაკმარისი ხილვადობაა. მძღოლის მხარეს არსებული მინასაწმენდის უმოქმედობისას აკრძალულია მექანიკური სატრანსპორტო საშუალების მართვა ნისლის, წვიმისა და თოვის დროს."
828,"ნისლის, წვიმის, ან თოვის დროს, მექანიკური სატრანსპორტო საშუალების მართვა აკრძალულია:",undefined,ნისლსაწინააღმდეგო ფარების არ არსებობის შემთხვევაში,საავარიო გაჩერების ნიშნის არ არსებობის შემთხვევაში,მძღოლის მხარეს არსებული მინასაწმენდის უმოქმედობის შემთხვევაში,ამ ბილეთში ჩამოთვლილ ნებისმიერ შემთხვევაში,მძღოლის მხარეს არსებული მინასაწმენდის უმოქმედობის შემთხვევაში,3,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის მე-21-ე მუხლის მე-13 პუნქტის თანახმად, მძღოლს ეკრძალება მოძრაობა მუშა სამუხრუჭო სისტემის, საჭის მექანიზმის, სატრანსპორტო საშუალებათა შემადგენლობაში მისაბმელი მოწყობილობის გაუმართაობისას, აგრეთვე დღე-ღამის ბნელ დროს ერთდროულად მწყობრიდან გამოსული (ჩამქრალი) ახლო და შორი განათების ფარებით (ან მათი არარსებობისას) ან/და უკანა საგაბარიტო სინათლეებით იმ გზაზე, რომელზედაც არ არის ხელოვნური განათება ან არასაკმარისი ხილვადობაა. მძღოლის მხარეს არსებული მინასაწმენდის უმოქმედობისას აკრძალულია მექანიკური სატრანსპორტო საშუალების მართვა ნისლის, წვიმისა და თოვის დროს."
829,"დღე-ღამის ბნელ დროს, მექანიკური სატრანსპორტო საშუალების ახლო და შორი განათების ფარების ერთდროულად მწყობრიდან გამოსვლის (ჩაქრობის) შემთხვევაში, მძღოლს ეკრძალება:",undefined,"იმ გზაზე მოძრაობა, რომელზედაც არ არის ხელოვნური განათება","ნებისმიერ გზაზე მოძრაობა, მიუხედავად იმისა, არის თუ არა მასზე ხელოვნური განათება",მოძრაობა ხელოვნურად განათებულ ორმხრივმოძრაობიან გზაზე,undefined,"იმ გზაზე მოძრაობა, რომელზედაც არ არის ხელოვნური განათება",1,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის მე-21-ე მუხლის მე-13 პუნქტის თანახმად, მძღოლს ეკრძალება მოძრაობა მუშა სამუხრუჭო სისტემის, საჭის მექანიზმის, სატრანსპორტო საშუალებათა შემადგენლობაში მისაბმელი მოწყობილობის გაუმართაობისას, აგრეთვე დღე-ღამის ბნელ დროს ერთდროულად მწყობრიდან გამოსული (ჩამქრალი) ახლო და შორი განათების ფარებით (ან მათი არარსებობისას) ან/და უკანა საგაბარიტო სინათლეებით იმ გზაზე, რომელზედაც არ არის ხელოვნური განათება ან არასაკმარისი ხილვადობაა. მძღოლის მხარეს არსებული მინასაწმენდის უმოქმედობისას აკრძალულია მექანიკური სატრანსპორტო საშუალების მართვა ნისლის, წვიმისა და თოვის დროს."
830,"არასაკმარისი ან შეზღუდული ხილვადობის პირობებში, მძღოლმა უნდა:",undefined,ჩართოს საავარიო შუქსიგნალიზაცია და შეამციროს დისტანცია მისი და მის წინ მიმავალ სატრანსპორტო საშუალებას შორის,შეამციროს სიჩქარე და გაზარდოს დისტანცია მისი და მის წინ მიმავალ სატრანსპორტო საშუალებას შორის,ჩართოს საავარიო შუქსიგნალიზაცია და იმოძრაოს სავალი ნაწილის უკიდურეს მარცხენა მხარეს,undefined,შეამციროს სიჩქარე და გაზარდოს დისტანცია მისი და მის წინ მიმავალ სატრანსპორტო საშუალებას შორის,2,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 25-ე მუხლის მე-10 პუნქტის „ა“ ქვეპუნქტის თანახმად, გზაზე მოძრაობისას მძღოლმა უნდა გაითვალისწინოს შემდეგი გარემოებები - არასაკმარისი ან შეზღუდული ხილვადობის პირობებში მძღოლმა უნდა შეამციროს სიჩქარე და გაზარდოს დისტანცია თავის სატრანსპორტო საშუალებასა და მის წინ მიმავალ სატრანსპორტო საშუალებას შორის."
831,"მძღოლმა უნდა გააცნობიეროს, რომ ყველაზე უფრო ხშირად გზა მოყინულია:",undefined,"გვირაბებში, რომლებშიც არ არის ხელოვნური განათება","ხიდზე, გზაგამტარსა და ესტაკადაზე",დასახლებული პუნქტების ცენტრალურ ქუჩებზე,undefined,"ხიდზე, გზაგამტარსა და ესტაკადაზე",2,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 25-ე მუხლის მე-10 პუნქტის „დ“ ქვეპუნქტის თანახმად, გზაზე მოძრაობისას მძღოლმა უნდა გაითვალისწინოს შემდეგი გარემოებები - მოყინულ გზის მონაკვეთზე მძღოლმა შეძლებისდაგვარად თავი უნდა აარიდოს დამუხრუჭებას, სიჩქარის ცვლილებასა და მიმართულების მკვეთრ შეცვლას. ამასთანავე, მძღოლმა უნდა გააცნობიეროს, რომ ყველაზე უფრო ხშირად გზა მოყინულია ხიდზე, გზაგამტარსა და ესტაკადაზე."
832,"გზის ნათელი მონაკვეთიდან ბნელ მონაკვეთზე გასვლისას, მძღოლმა უნდა გაითვალისწინოს, რომ:",undefined,სავალდებულოა ნისლსაწინააღმდეგო ფარების ჩართვა,იზრდება სატრანსპორტო საშუალების დამუხრუჭებისათვის საჭირო დრო და მანძილი,"თვალი ნელა ეჩვევა სიბნელეს, რის გამოც მძღოლის წინ არსებული შესაძლო დაბრკოლებები რთული შესამჩნევია",undefined,"თვალი ნელა ეჩვევა სიბნელეს, რის გამოც მძღოლის წინ არსებული შესაძლო დაბრკოლებები რთული შესამჩნევია",3,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 25-ე მუხლის მე-10 პუნქტის „ბ“ ქვეპუნქტის თანახმად, გზაზე მოძრაობისას მძღოლმა უნდა გაითვალისწინოს შემდეგი გარემოებები - გზის ნათელი მონაკვეთიდან ბნელ მონაკვეთზე გასვლისას თვალი ნელა ეჩვევა სიბნელეს, რის გამოც მძღოლის წინ არსებული შესაძლო დაბრკოლება რთული შესამჩნევია."
833,"ღამე ცუდად ან არათანაბრად განათებულ გზის მონაკვეთებზე მოძრაობისას, მძღოლმა უნდა გაითვალისწინოს, რომ:",undefined,გართულებულია საგზაო მოძრაობის მონაწილეთა მიერ ერთმანეთის შემჩნევა,იზრდება სატრანსპორტო საშუალების დამუხრუჭებისათვის საჭირო დრო და მანძილი,სავალდებულოა საავარიო შუქსიგნალიზაციის ჩართვა,undefined,გართულებულია საგზაო მოძრაობის მონაწილეთა მიერ ერთმანეთის შემჩნევა,1,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 25-ე მუხლის მე-10 პუნქტის „გ“ ქვეპუნქტის თანახმად, გზაზე მოძრაობისას მძღოლმა უნდა გაითვალისწინოს შემდეგი გარემოებები - ღამე, ცუდად განათებული ან არათანაბრად განათებული გზის მონაკვეთებზე მოძრაობისას გართულებულია საგზაო მოძრაობის მონაწილეთა მიერ ერთმანეთის შემჩნევა."
834,მოყინულ გზის მონაკვეთზე მძღოლმა:,undefined,"შეძლებისდაგვარად თავი უნდა აარიდოს დამუხრუჭებას, სიჩქარის ცვლილებასა და მიმართულების მკვეთრ შეცვლას",დამუხრუჭებისათვის დამატებით უნდა გამოიყენოს ხელის მუხრუჭი,მიმართულების შეცვლა უნდა განახორციელოს საჭის მკვეთრი მობრუნებითა და სიჩქარის მომატებით,undefined,"შეძლებისდაგვარად თავი უნდა აარიდოს დამუხრუჭებას, სიჩქარის ცვლილებასა და მიმართულების მკვეთრ შეცვლას",1,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 25-ე მუხლის მე-10 პუნქტის „დ“ ქვეპუნქტის თანახმად, გზაზე მოძრაობისას მძღოლმა უნდა გაითვალისწინოს შემდეგი გარემოებები - მოყინულ გზის მონაკვეთზე მძღოლმა შეძლებისდაგვარად თავი უნდა აარიდოს დამუხრუჭებას, სიჩქარის ცვლილებასა და მიმართულების მკვეთრ შეცვლას. ამასთან მძღოლმა უნდა გაათვიცნობიეროს, რომ ყველაზე უფრო ხშირად გზა მოყინულია ხიდზე, გზაგამტარებზე და ესტაკადებზე."
835,"წვიმისა და თოვის დროს მოძრაობისას, მძღოლმა უნდა:",undefined,შეამციროს დისტანცია მასსა და მის წინ მიმავალ სატრანსპორტო საშუალებას შორის,შეამციროს სიჩქარე და გაზარდოს დისტანცია მასსა და მის წინ მიმავალ სატრანსპორტო საშუალებას შორის,ჩართოს საავარიო შუქსიგნალიზაცია,undefined,შეამციროს სიჩქარე და გაზარდოს დისტანცია მასსა და მის წინ მიმავალ სატრანსპორტო საშუალებას შორის,2,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 25-ე მუხლის მე-10 პუნქტის „ე“ ქვეპუნქტის თანახმად, გზაზე მოძრაობისას მძღოლმა უნდა გაითვალისწინოს შემდეგი გარემოებები - ვინაიდან წვიმისა და თოვის დროს მოძრაობისას იზრდება სატრანსპორტო საშუალების დამუხრუჭებისათვის საჭირო დრო და მანძილი, ამასთანავე, ნალექი აუარესებს ხილვადობას, მძღოლმა უნდა შეამციროს სიჩქარე და გაზარდოს დისტანცია თავის სატრანსპორტო საშუალებასა და მის წინ მიმავალ სატრანსპორტო საშუალებას შორის."
836,"წვიმისა და თოვის დროს მოძრაობისას მძღოლმა უნდა გაითვალისწინოს, რომ:",undefined,აკრძალულია უკუსვლით მოძრაობა,მიზანშეწონილია მასსა და მის წინ მიმავალ სატრანსპორტო საშუალებას შორის დისტანციის შემცირება,"იზრდება სატრანსპორტო საშუალების დამუხრუჭებისათვის საჭირო დრო და მანძილი, ამასთან, ნალექი აუარესებს ხილვადობას",undefined,"იზრდება სატრანსპორტო საშუალების დამუხრუჭებისათვის საჭირო დრო და მანძილი, ამასთან, ნალექი აუარესებს ხილვადობას",3,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 25-ე მუხლის მე-10 პუნქტის „ე“ ქვეპუნქტის თანახმად, გზაზე მოძრაობისას მძღოლმა უნდა გაითვალისწინოს შემდეგი გარემოებები - ვინაიდან წვიმისა და თოვის დროს მოძრაობისას იზრდება სატრანსპორტო საშუალების დამუხრუჭებისათვის საჭირო დრო და მანძილი, ამასთან ნალექი აუარესებს ხილვადობას, მძღოლმა უნდა შეამციროს სიჩქარე და გაზარდოს დისტანცია მისი და მის წინ მიმავალ სატრანსპორტო საშუალებას შორის."
837,"წვიმის დაწყებისას გზის ზედაპირი ტალახიანდება და ქმნის მოცურების საშიშროებას, რის გამოც მძღოლმა უნდა:",undefined,შეამციროს სიჩქარე მდორე დამუხრუჭებით,შეამციროს სიჩქარე მკვეთრი დამუხრუჭებით,გაზარდოს სიჩქარე,undefined,შეამციროს სიჩქარე მდორე დამუხრუჭებით,1,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 25-ე მუხლის მე-10 პუნქტის „ვ“ ქვეპუნქტის თანახმად, გზაზე მოძრაობისას მძღოლმა უნდა გაითვალისწინოს შემდეგი გარემოებები - წვიმის დაწყებისას გზის ზედაპირი ტალახიანდება და ქმნის მოცურების საშიშროებას, რის გამოც მძღოლმა უნდა შეამციროს სიჩქარე მდორე დამუხრუჭებით."
838,"მძღოლმა უნდა გაითვალისწინოს, რომ:",undefined,მოსახვევში მუხრუჭის მკვეთრად გამოყენებამ ან/და მაღალი სიჩქარით შესვლამ შესაძლოა გამოიწვიოს სატრანსპორტო საშუალების მართვაზე კონტროლის დაკარგვა,მოსახვევში შესასვლელად სიჩქარის შემცირება უნდა განხორციელდეს მკვეთრი დამუხრუჭებით,მიზანშეწონილია მოხვევა განხორციელდეს მაღალი სიჩქარით,undefined,მოსახვევში მუხრუჭის მკვეთრად გამოყენებამ ან/და მაღალი სიჩქარით შესვლამ შესაძლოა გამოიწვიოს სატრანსპორტო საშუალების მართვაზე კონტროლის დაკარგვა,1,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 25-ე მუხლის მე-10 პუნქტის „თ“ ქვეპუნქტის თანახმად, გზაზე მოძრაობისას მძღოლმა უნდა გაითვალისწინოს შემდეგი გარემოებები - მოსახვევში მუხრუჭის მკვეთრად გამოყენებამ ან/და მაღალი სიჩქარით შესვლამ (განსაკუთრებით გზის სველი ზედაპირის არსებობისას) შესაძლოა გამოიწვიოს სატრანსპორტო საშუალებაზე კონტროლის დაკარგვა."
839,"გზაზე წყლის გუბეების არსებობისას მძღოლმა უნდა გაითვალისწინოს, რომ:",undefined,მიზანშეწონილია გუბეში გავლისას სიჩქარის გაზრდა,"გართულებულია სატრანსპორტო საშუალების მართვა და დამუხრუჭება, ამასთან, დიდია სატრანსპორტო საშუალების მოცურების ალბათობა",მიზანშეწონილია მასსა და მის წინ მიმავალ სატრანსპორტო საშუალებას შორის დისტანციის შემცირება,undefined,"გართულებულია სატრანსპორტო საშუალების მართვა და დამუხრუჭება, ამასთან, დიდია სატრანსპორტო საშუალების მოცურების ალბათობა",2,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 25-ე მუხლის მე-10 პუნქტის „ი“ ქვეპუნქტის თანახმად, გზაზე მოძრაობისას მძღოლმა უნდა გაითვალისწინოს შემდეგი გარემოებები - გზაზე წყლის გუბეების არსებობისას მძღოლმა უნდა გაითვალისწინოს, რომ სატრანსპორტო საშუალების მართვა და დამუხრუჭება გართულებულია, ამასთანავე, დიდია სატრანსპორტო საშუალების მოცურების ალბათობა (განსაკუთრებით გაცვეთილი საბურავებით ან მაღალი სიჩქარით მოძრაობისას)."
840,"თუ სატრანსპორტო საშუალების მართვისას მძღოლი გრძნობს დაღლილობას, მიზანშეწონილია:",undefined,სატრანსპორტო საშუალების სიჩქარის მომატება,კოფეინის შემცველი სითხის მიღება,"სატრანსპორტო საშუალების გაჩერება და დასვენება, შესაძლებლობის შემთხვევაში საჭესთან სხვა მძღოლის დასმა",undefined,"სატრანსპორტო საშუალების გაჩერება და დასვენება, შესაძლებლობის შემთხვევაში საჭესთან სხვა მძღოლის დასმა",3,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 25-ე მუხლის მე-10 პუნქტის „კ“ ქვეპუნქტის თანახმად, გზაზე მოძრაობისას მძღოლმა უნდა გაითვალისწინოს შემდეგი გარემოებები - თუ სატრანსპორტო საშუალების მართვისას მძღოლი გრძნობს დაღლილობას, მიზანშეწონილია სატრანსპორტო საშუალების გაჩერება და დასვენება, ხოლო შესაძლებლობის შემთხვევაში − საჭესთან სხვა მძღოლის დასმა."
841,"თუ მძღოლი გზაზე ამჩნევს სხვა სატრანსპორტო საშუალების მძღოლს, რომელიც აგრესიულად არის განწყობილი და გამომწვევად იქცევა, მან:",undefined,უნდა შეინარჩუნოს სიმშვიდე და აკონტროლოს თავისი სატრანსპორტო საშუალება,ორი გაბმული და ერთი მოკლე ხმოვანი სიგნალის მიცემით უნდა მოუწოდოს აგრესიულ მძღოლს სიმშვიდისაკენ,თვითონაც უნდა გამოიჩინოს აგრესიულობა,undefined,უნდა შეინარჩუნოს სიმშვიდე და აკონტროლოს თავისი სატრანსპორტო საშუალება,1,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 25-ე მუხლის მე-10 პუნქტის „ლ“ ქვეპუნქტის თანახმად, გზაზე მოძრაობისას მძღოლმა უნდა გაითვალისწინოს შემდეგი გარემოებები - თუ მძღოლი გზაზე ამჩნევს სხვა სატრანსპორტო საშუალების მძღოლს, რომელიც აგრესიულად არის განწყობილი და გამომწვევად იქცევა, მან უნდა შეინარჩუნოს სიმშვიდე და აკონტროლოს თავისი სატრანსპორტო საშუალება."
842,დიდი ხნის განმავლობაში მაღალი სიჩქარით სატრანსპორტო საშუალებით მოძრაობა იწვევს:,undefined,სატრანსპორტო საშუალების სამუხრუჭო სისტემის მწყობრიდან გამოსვლას,მძღოლის კონცენტრაციისა და მაღალი სიჩქარის შეგრძნების დაქვეითებას,ამ ბილეთში ჩამოთვლილ ყველა გარემოებას,undefined,მძღოლის კონცენტრაციისა და მაღალი სიჩქარის შეგრძნების დაქვეითებას,2,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 25-ე მუხლის მე-10 პუნქტის „ნ“ ქვეპუნქტის თანახმად, გზაზე მოძრაობისას მძღოლმა უნდა გაითვალისწინოს შემდეგი გარემოებები - დიდი ხნის განმავლობაში მაღალი სიჩქარით მოძრაობა აქვეითებს კონცენტრაციასა და მაღალი სიჩქარის შეგრძნებას."
843,მძღოლმა სატრანსპორტო საშუალება უნდა მართოს:,undefined,"აგრესიულად, როგორც უპირატესმა გზაზე","მშვიდად, თუმცა უნდა ცდილობდეს თავის გამოჩენას, როგორც უპირატესი გზაზე","მშვიდად და არ უნდა იჩენდეს აგრესიულობას, არ უნდა ცდილობდეს თავის გამოჩენას, როგორც უპირატესი გზაზე",undefined,"მშვიდად და არ უნდა იჩენდეს აგრესიულობას, არ უნდა ცდილობდეს თავის გამოჩენას, როგორც უპირატესი გზაზე",3,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 25-ე მუხლის მე-10 პუნქტის „ო“ ქვეპუნქტის თანახმად, გზაზე მოძრაობისას მძღოლმა უნდა გაითვალისწინოს შემდეგი გარემოებები - მძღოლი სატრანსპორტო საშუალებას უნდა მართავდეს მშვიდად, არ უნდა იჩენდეს აგრესიულობას და არ უნდა ცდილობდეს თავის გამოჩენას, როგორც უპირატესი გზაზე."
850,"დასაშვებია თუ არა სატრანსპორტო საშუალების მართვა ნარკოტიკული სიმთვრალის მდგომარეობაში მყოფი იმ პირის მიერ, რომელსაც ნარკოტიკული საშუალება მოხმარებული აქვს სამედიცინი მიზნებისათვის, ექიმის დანიშნულებით?",undefined,დასაშვებია,არ არის დასაშვები,undefined,undefined,არ არის დასაშვები,2,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 21-ე მუხლის მე-15 პუნქტის თანახმად, აკრძალულია სატრანსპორტო საშუალების მართვა ალკოჰოლური, ნარკოტიკუ¬ლი ან ფსიქოტროპული სიმთვრალის მდგომარეობაში, ან იმ სამკურნალო პრეპარატის ზემოქმედებისას, რომელიც აქვეითებს რეაქციას და ყურადღებას."
851,"დასაშვებია თუ არა სატრანსპორტო საშუალების მართვა ფსიქოტროპული სიმთვრალის მდგომარეობაში მყოფი იმ პირის მიერ, რომელსაც ფსიქოტროპული საშუალება მოხმარებული აქვს სამედიცინი მიზნებისათვის, ექიმის დანიშნულებით?",undefined,დასაშვებია,არ არის დასაშვები,undefined,undefined,არ არის დასაშვები,2,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 21-ე მუხლის მე-15 პუნქტის თანახმად, აკრძალულია სატრანსპორტო საშუალების მართვა ალკოჰოლური, ნარკოტიკუ¬ლი ან ფსიქოტროპული სიმთვრალის მდგომარეობაში, ან იმ სამკურნალო პრეპარატის ზემოქმედებისას, რომელიც აქვეითებს რეაქციას და ყურადღებას."
852,"აკრძალულია თუ არა სატრანსპორტო საშუალების სამართავად გადაცემა ნარკოტიკული სიმთვრალის მდგომარეობაში მყოფი იმ პირისათვის, რომელსაც ნარკოტიკული საშუალება მოხმარებული აქვს სამედიცინი მიზნებისათვის, ექიმის დანიშნულებით?",undefined,აკრძალულია,არ არის აკრძალული,undefined,undefined,აკრძალულია,1,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის მე-20 მუხლის მე-4 პუნქტის თანახმად, აკრძალულია სატრანსპორტო საშუალების სამართავად გადაცემა იმ პირისათვის, რომელიც იმყოფება ალკოჰოლური, ნარკოტიკული ან ფსიქოტროპული სიმთვრალის მდგომარეობაში,"
853,"აკრძალულია თუ არა სატრანსპორტო საშუალების სამართავად გადაცემა ფსიქოტროპული სიმთვრალის მდგომარეობაში მყოფი იმ პირისათვის, რომელსაც ფსიქოტროპული საშუალება მოხმარებული აქვს სამედიცინი მიზნებისათვის, ექიმის დანიშნულებით?",undefined,აკრძალულია,არ არის აკრძალული,undefined,undefined,აკრძალულია,1,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის მე-20 მუხლის მე-4 პუნქტის თანახმად, აკრძალულია სატრანსპორტო საშუალების სამართავად გადაცემა იმ პირისათვის, რომელიც იმყოფება ალკოჰოლური, ნარკოტიკული ან ფსიქოტროპული სიმთვრალის მდგომარეობაში,"
854,"აკრძალულია თუ არა სატრანსპორტო საშუალების მართვა იმ პირის მიერ, რომელიც განიცდის ისეთი სამკურნალო პრეპარატების ზემოქმედებას, რომლებიც აქვეითებენ რეაქციასა და ყურადღებას?",undefined,"არ არის აკრძალული, თუ აღნიშნული პრეპარატების მიღება განხორციელდა სამედიცინო მიზნებისათვის, ექიმის დანიშნულებით","არ არის აკრძალული, თუ პირი გადაადგილდება სიფრთხილის აუცილებელი ზომების გამოყენებით",აკრძალულია,undefined,აკრძალულია,3,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 21-ე მუხლის მე-15 პუნქტის თანახმად, აკრძალულია სატრანსპორტო საშუალების მართვა ალკოჰოლური, ნარკოტიკუ¬ლი ან ფსიქოტროპული სიმთვრალის მდგომარეობაში, ან იმ სამკურნალო პრეპარატის ზემოქმედებისას, რომელიც აქვეითებს რეაქციას და ყურადღებას."
855,"აკრძალულია თუ არა სატრანსპორტო საშუალების სამართავად გადაცემა იმ პირისათვის, რომელიც განიცდის ისეთი სამკურნალო პრეპარატების ზემოქმედებას, რომლებიც აქვეითებენ რეაქციასა და ყურადღებას?",undefined,აკრძალულია,"არ არის აკრძალული, თუ აღნიშნული პრეპარატების მიღება განხორციელდა სამედიცინო მიზნებისათვის ექიმის დანიშნულებით","არ არის აკრძალული, თუ პირი გადაადგილდება სიფრთხილის აუცილებელი ზომების გამოყენებით",undefined,აკრძალულია,1,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის მე-20 მუხლის მე-4 პუნქტის თანახმად, აკრძალულია სატრანსპორტო საშუალების სამართავად გადაცემა იმ პირისათვის, რომელიც იმყოფება ალკოჰოლური, ნარკოტიკული ან ფსიქოტროპული სიმთვრალის მდგომარეობაში. ამავე კანონის 21-ე მუხლის მე-15 პუნქტის თანახმად, აკრძალულია სატრანსპორტო საშუალების მართვა ალკოჰოლური, ნარკოტიკუ¬ლი ან ფსიქოტროპული სიმთვრალის მდგომარეობაში, ან იმ სამკურნალო პრეპარატის ზემოქმედებისას, რომელიც აქვეითებს რეაქციას და ყურადღებას."
